date,topic
2021-09-06,antiracism
2021-09-27,antiracism
2019-12-03,critical race theory
2019-12-08,critical race theory
2021-03-12,critical race theory
2020-12-21,diversity  equity  inclusion
2021-05-06,diversity  equity  inclusion
2021-11-22,diversity  equity  inclusion
2021-08-25,diversity  equity  inclusion
2019-04-17,diversity  equity  inclusion
2020-07-21,diversity  equity  inclusion
2021-07-23,diversity  equity  inclusion
2019-07-16,diversity  equity  inclusion
2016-10-05,diversity  equity  inclusion
2019-07-30,diversity  equity  inclusion
2021-04-04,diversity  equity  inclusion
2019-12-14,diversity  equity  inclusion
2021-01-05,diversity  equity  inclusion
2019-07-02,diversity  equity  inclusion
2020-06-15,intersectionality
2018-05-12,intersectionality
2021-01-05,intersectionality
2018-11-18,intersectionality
2021-06-18,intersectionality
2020-11-24,intersectionality
2018-07-22,intersectionality
2018-11-25,intersectionality
2021-11-12,intersectionality
2017-12-21,intersectionality
2019-10-24,intersectionality
2020-11-16,intersectionality
2013-11-28,privilege
2012-10-11,privilege
2013-06-28,privilege
2021-12-16,privilege
2017-08-05,privilege
2021-02-09,privilege
2015-10-25,privilege
2019-04-13,privilege
2018-01-08,privilege
2008-06-07,privilege
2014-07-01,privilege
2017-01-24,privilege
2017-08-30,privilege
2017-09-25,privilege
2018-05-06,privilege
2018-02-12,privilege
2019-11-25,privilege
2020-03-20,privilege
2019-04-03,privilege
2018-05-30,privilege
2017-02-28,privilege
2019-04-10,privilege
2013-06-13,privilege
2015-06-25,privilege
2015-08-09,privilege
2014-03-13,privilege
2017-01-25,privilege
2017-03-29,privilege
2018-11-16,privilege
2019-10-17,privilege
2020-03-19,privilege
2020-05-19,privilege
2020-11-18,privilege
2021-07-14,privilege
2021-08-12,privilege
2021-10-28,privilege
2008-06-02,privilege
2012-12-25,privilege
2018-03-29,privilege
2006-03-22,privilege
2014-10-01,privilege
2018-04-12,privilege
2019-10-10,privilege
2021-04-15,privilege
2022-01-20,privilege
2017-12-05,privilege
2011-02-19,privilege
2017-09-19,privilege
2018-05-29,privilege
2017-02-09,privilege
2020-04-09,privilege
2016-07-08,privilege
2018-05-18,privilege
2016-03-31,privilege
2020-04-24,privilege
2021-05-31,privilege
2006-11-28,privilege
2010-04-25,privilege
2015-11-11,privilege
2017-05-26,privilege
2019-03-08,privilege
2021-03-24,privilege
2004-12-25,privilege
2000-07-07,privilege
2007-09-04,privilege
2011-02-11,privilege
2013-05-31,privilege
2015-11-07,privilege
2017-03-16,privilege
2019-07-23,privilege
2019-11-19,privilege
2019-12-27,privilege
2020-02-08,privilege
2020-10-31,privilege
2021-07-22,privilege
2013-03-07,privilege
2013-05-12,privilege
2013-06-10,privilege
2013-07-31,privilege
2016-06-30,privilege
2016-04-06,privilege
2016-02-26,privilege
2017-08-31,privilege
2018-06-16,privilege
2018-11-18,privilege
2020-02-03,privilege
2020-09-04,privilege
2020-11-14,privilege
2021-10-04,privilege
2019-07-11,privilege
2011-12-12,privilege
2017-07-03,privilege
2017-11-03,privilege
2018-05-24,privilege
2018-08-02,privilege
2016-03-02,privilege
2017-11-30,privilege
2019-05-26,privilege
2019-08-23,privilege
2020-01-05,privilege
2021-06-25,privilege
1997-09-25,privilege
2000-02-12,privilege
2003-02-19,privilege
2001-07-05,privilege
1994-12-21,privilege
2000-07-14,privilege
2002-12-01,privilege
2007-05-29,privilege
2007-12-19,privilege
2015-04-08,privilege
2016-01-25,privilege
2016-07-28,privilege
2003-06-24,privilege
1997-09-26,privilege
2005-03-15,privilege
2007-08-15,privilege
2009-11-03,privilege
2010-08-06,privilege
2011-05-10,privilege
2011-11-17,privilege
2012-02-02,privilege
2013-05-06,privilege
2014-05-13,privilege
2014-05-22,privilege
2014-07-06,privilege
2015-08-21,privilege
2016-05-10,privilege
2016-05-13,privilege
2016-09-26,privilege
2016-03-08,privilege
2017-10-11,privilege
2017-11-30,privilege
2018-02-27,privilege
2018-10-09,privilege
2018-10-19,privilege
2018-10-25,privilege
2019-01-02,privilege
2019-03-18,privilege
2019-04-15,privilege
2019-06-13,privilege
2019-07-23,privilege
2019-10-09,privilege
2019-11-22,privilege
2020-01-14,privilege
2020-04-26,privilege
2020-06-18,privilege
2021-04-28,privilege
2021-04-29,privilege
2021-04-30,privilege
2021-05-06,privilege
2021-12-10,privilege
2021-12-22,privilege
2008-08-25,privilege
2016-08-18,privilege
2017-11-01,privilege
2018-02-02,privilege
2019-01-10,privilege
2019-07-30,privilege
1999-09-01,privilege
2002-01-24,privilege
2003-08-01,privilege
2004-12-13,privilege
2005-12-08,privilege
2004-07-28,privilege
2006-11-21,privilege
1995-09-04,privilege
2004-02-26,privilege
1994-10-11,privilege
1995-05-26,privilege
1997-07-01,privilege
1999-08-26,privilege
1995-02-09,privilege
2005-03-29,privilege
2006-12-19,privilege
2006-09-19,privilege
1996-07-17,privilege
2001-11-25,privilege
2003-02-10,privilege
2007-06-28,privilege
2007-09-11,privilege
2008-06-03,privilege
2008-06-25,privilege
2008-07-24,privilege
2008-07-25,privilege
2008-09-01,privilege
2009-03-23,privilege
2011-05-09,privilege
2011-06-13,privilege
2011-11-10,privilege
2011-12-03,privilege
2012-03-15,privilege
2013-02-08,privilege
2013-05-05,privilege
2014-05-22,privilege
2016-10-20,privilege
2015-04-08,privilege
2015-04-14,privilege
2014-03-12,privilege
2014-12-18,privilege
2016-05-16,privilege
2016-08-22,privilege
2017-07-19,privilege
2012-08-03,privilege
2015-10-12,privilege
2016-03-31,privilege
2017-05-05,privilege
2018-12-11,privilege
2019-01-29,privilege
2019-02-16,privilege
2019-03-05,privilege
2020-01-08,privilege
2020-01-18,privilege
2020-02-16,privilege
2020-05-22,privilege
2020-07-18,privilege
2020-07-22,privilege
2020-08-24,privilege
2020-09-01,privilege
2020-11-04,privilege
2020-11-19,privilege
2020-11-25,privilege
2020-12-02,privilege
2020-12-04,privilege
2021-01-29,privilege
2021-05-10,privilege
2021-05-23,privilege
2021-11-16,privilege
2021-12-06,privilege
2021-12-07,privilege
2021-12-23,privilege
2022-01-04,privilege
2022-01-12,privilege
1994-09-01,privilege
2006-01-26,privilege
2010-01-12,privilege
2012-06-12,privilege
2014-03-22,privilege
2014-12-28,privilege
2016-09-13,privilege
2017-08-11,privilege
2018-07-26,privilege
2013-11-11,privilege
2017-03-28,privilege
2017-10-02,privilege
2018-03-07,privilege
2018-10-19,privilege
2018-10-08,privilege
2019-02-11,privilege
2019-05-14,privilege
2019-05-15,privilege
2019-05-16,privilege
2019-06-27,privilege
2019-09-26,privilege
2019-12-10,privilege
2019-12-10,privilege
2020-03-12,privilege
2020-03-16,privilege
2020-07-15,privilege
2020-07-17,privilege
2020-08-27,privilege
2020-09-19,privilege
2020-10-16,privilege
2021-02-20,privilege
2021-09-17,privilege
2021-10-11,privilege
2021-11-03,privilege
2021-11-17,privilege
2018-01-18,privilege
2018-02-20,privilege
2019-12-06,privilege
2020-10-29,privilege
2021-07-23,privilege
2021-08-10,privilege
2021-11-16,privilege
1995-08-24,privilege
1996-02-09,privilege
1999-02-01,privilege
1999-08-10,privilege
2001-07-20,privilege
2003-10-03,privilege
2005-07-16,privilege
2005-10-25,privilege
2006-10-19,privilege
2007-01-04,privilege
2007-01-09,privilege
2007-01-09,privilege
2007-03-13,privilege
2000-10-06,privilege
2002-05-29,privilege
2003-03-17,privilege
2003-12-15,privilege
2005-07-19,privilege
2006-09-22,privilege
2006-04-19,privilege
2006-12-20,privilege
2007-01-25,privilege
2007-02-19,privilege
1994-04-06,privilege
1998-06-26,privilege
2002-08-26,privilege
2005-03-11,privilege
2006-01-28,privilege
2003-05-28,privilege
1994-07-06,privilege
1996-09-18,privilege
2002-03-07,privilege
1997-12-16,privilege
2002-07-18,privilege
2003-01-28,privilege
2004-11-16,privilege
1999-12-15,privilege
2000-11-12,privilege
2004-04-07,privilege
2006-08-03,privilege
1998-05-04,privilege
2004-07-18,privilege
2004-12-09,privilege
2005-05-22,privilege
2001-10-09,privilege
2001-11-29,privilege
2003-04-27,privilege
2003-06-09,privilege
2004-04-22,privilege
2007-05-30,privilege
2007-06-03,privilege
2007-07-06,privilege
2007-09-04,privilege
2007-10-12,privilege
2007-10-24,privilege
2007-11-08,privilege
2007-11-22,privilege
2008-03-03,privilege
2008-03-04,privilege
2008-08-26,privilege
2008-10-20,privilege
