file_in,1619 project,advocacy,ally,anti-racism,antiracism,bias,black lives matter,blm,critical race theory,discrimination,diversity,equity,gender,george floyd,implicit bias,inclusion,intersectional,justice,kendi,microaggression,multicultural,oppression,privilege,race,racism,racist,social justice,systemic,transgender,white fragility,white supremacy,total_chr,year,society,term_sum,dei_sum,race_sum,gender_sum,society_full_name
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/2015-boston.txt,0,3,4,0,0,0,0,0,0,2,20,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2059394,2015,acs,39,26,0,2,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/2015-denver.txt,0,3,2,0,0,1,0,0,0,3,18,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2199523,2015,acs,36,23,0,2,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/2016-philadelphia.txt,0,1,3,0,0,5,0,0,0,2,37,4,4,0,0,21,0,4,0,0,0,0,0,7,0,0,0,4,1,0,0,2653264,2016,acs,93,62,0,4,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/2016-san-diego.txt,0,4,1,0,0,4,0,0,0,2,49,0,4,0,0,8,0,2,0,0,4,0,0,2,0,0,0,1,0,0,0,2546592,2016,acs,81,57,0,4,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/2017-washington.txt,0,14,2,0,0,2,0,0,0,2,20,1,5,0,0,6,0,2,1,0,0,0,0,1,0,0,0,3,1,0,0,2697759,2017,acs,60,27,0,5,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/2018-acs-nola-program-book.txt,0,0,0,0,0,1,0,0,0,5,32,0,5,0,0,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3516533,2018,acs,56,43,0,5,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/acs-sanfran2017-program-book.txt,0,1,2,0,0,3,0,0,0,6,18,11,18,0,0,6,0,4,0,0,3,0,0,0,0,0,1,3,0,0,0,3999680,2017,acs,76,35,0,18,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/fall_2019_national_meeting_draft-technical-program.txt,0,0,0,0,0,4,0,0,0,2,15,2,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,3,1,0,0,1682190,2019,acs,52,29,0,0,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/fall-2018-program-book.txt,0,1,0,0,0,3,0,0,0,7,8,0,3,0,0,7,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2808327,2018,acs,36,15,0,3,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/acs/technical_program_draft-2019.txt,0,1,0,0,0,1,0,0,0,8,14,0,1,0,0,5,0,1,0,0,0,0,0,2,0,0,0,5,1,0,0,2304023,2019,acs,39,19,0,1,Am. Chemical Society
/mnt/c/Users/m/projects/nas_crt/data/learned_societies/ams/2008.txt,0,2,0,0,0,0,0,0,0,0,6,5,2,0,0,2,0,6,0,0,0,0,0,0,0,0,5,1,1,0,0,1028976,2008,ams,30,13,0,2,Am. Mathematical Society
